#black car left

# original_size=1920x1080 or 1280x720
# required for scaling the image


(848.3688683408564, 325.1391945483791), 1
(942.0074154891921, 324.88621163975034), 2
(886.1342368059238, 393.74961968034916), 3
(967.5059160696755, 392.1626339116764), 4
(861.8404864614557, 437.6637485088029), 5
(989.4393767208901, 433.82786861108804), 6
(838.9969483343824, 320.1604293695855), 17
(814.2206565244667, 357.4454427221353), 18
(818.6424497961323, 397.14103897246287), 19
(840.5928621909071, 423.281814353711), 20
(836.7267584404617, 365.33374875430206), 24

#yellow car right

(1141.4528343342129, 331.6301344496415), 7
(1059.043373374834, 420.4548173337264), 8
(1160.6434327959064, 460.91899147070245), 9
(1183.8036134227173, 407.5302422199968), 10
(1216.5236892817325, 341.06743380323087), 11
(1336.187242449956, 340.21051383118737), 12
(1226.3140306597163, 395.7706946664923), 13
(1360.1614584561787, 392.8632938688412), 14
(1222.9115723463058, 477.59314640159033), 15
(1353.4831354675814, 471.92193578442146), 16
(1270.9127584100318, 427.3061018639649), 21
(1320.1753805413382, 425.80525842865745), 22
(1080.1880536775645, 371.82975338295654), 23
